onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
39.428	n/a	19714	symbolSearch_start	92	n/a	n/a
42.35	n/a	21175	newPage	20	n/a	n/a
48.476	n/a	24238	trialResponse	14	0	0
51.61	n/a	25805	trialResponse	14	1	1
57.086	n/a	28543	trialResponse	14	0	0
62.55	n/a	31275	trialResponse	14	0	0
70.494	n/a	35247	trialResponse	14	0	0
73.406	n/a	36703	trialResponse	14	1	1
79.118	n/a	39559	trialResponse	14	0	0
83.03	n/a	41515	trialResponse	14	1	1
88.086	n/a	44043	trialResponse	14	0	0
93.654	n/a	46827	trialResponse	14	0	0
97.918	n/a	48959	trialResponse	14	0	0
100.774	n/a	50387	trialResponse	14	1	1
104.102	n/a	52051	trialResponse	14	0	0
107.56	n/a	53780	trialResponse	14	1	1
109.67	n/a	54835	trialResponse	14	1	1
110.862	n/a	55431	newPage	20	n/a	n/a
115.124	n/a	57562	trialResponse	14	1	1
116.942	n/a	58471	trialResponse	14	1	1
120.67	n/a	60335	trialResponse	14	0	0
122.942	n/a	61471	trialResponse	14	1	1
129.128	n/a	64564	trialResponse	14	0	0
132.894	n/a	66447	trialResponse	14	1	1
139.702	n/a	69851	trialResponse	14	0	0
145.4	n/a	72700	trialResponse	14	0	1
149.966	n/a	74983	trialResponse	14	1	1
155.078	n/a	77539	trialResponse	14	0	0
159.638	n/a	79819	trialResponse	14	1	1
163.43	n/a	81715	trialResponse	14	0	0
163.436	n/a	81718	newPage	20	n/a	n/a
165.981	n/a	82990.5	boundary	boundary	n/a	n/a
