onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
66.974	n/a	33487	surroundSuppB1_start	93	n/a	n/a	n/a
68.514	n/a	34257	fixpoint_ON	4	n/a	n/a	n/a
69.034	2.4	34517	stim_ON	8	1	0	2
71.94	n/a	35970	fixpoint_ON	4	n/a	n/a	n/a
72.452	2.4	36226	stim_ON	8	1	0.3	3
75.36	n/a	37680	fixpoint_ON	4	n/a	n/a	n/a
75.872	2.4	37936	stim_ON	8	1	0.6	1
78.78	n/a	39390	fixpoint_ON	4	n/a	n/a	n/a
79.29	2.4	39645	stim_ON	8	1	1	2
82.2	n/a	41100	fixpoint_ON	4	n/a	n/a	n/a
82.71	2.4	41355	stim_ON	8	1	0	3
85.62	n/a	42810	fixpoint_ON	4	n/a	n/a	n/a
86.13	2.4	43065	stim_ON	8	1	0.3	2
89.04	n/a	44520	fixpoint_ON	4	n/a	n/a	n/a
89.55	2.4	44775	stim_ON	8	1	0.6	1
92.46	n/a	46230	fixpoint_ON	4	n/a	n/a	n/a
92.97	2.4	46485	stim_ON	8	1	1	3
95.88	n/a	47940	fixpoint_ON	4	n/a	n/a	n/a
96.39	2.4	48195	stim_ON	8	1	0	2
99.3	n/a	49650	fixpoint_ON	4	n/a	n/a	n/a
99.81	2.4	49905	stim_ON	8	1	0.3	3
102.72	n/a	51360	fixpoint_ON	4	n/a	n/a	n/a
103.23	2.4	51615	stim_ON	8	1	0.6	1
106.14	n/a	53070	fixpoint_ON	4	n/a	n/a	n/a
106.65	2.4	53325	stim_ON	8	1	1	2
109.56	n/a	54780	fixpoint_ON	4	n/a	n/a	n/a
110.07	2.4	55035	stim_ON	8	0	0	3
112.98	n/a	56490	fixpoint_ON	4	n/a	n/a	n/a
113.49	2.4	56745	stim_ON	8	0	0.3	1
116.4	n/a	58200	fixpoint_ON	4	n/a	n/a	n/a
116.91	2.4	58455	stim_ON	8	0	0.6	2
119.82	n/a	59910	fixpoint_ON	4	n/a	n/a	n/a
120.33	2.4	60165	stim_ON	8	0	1	3
123.24	n/a	61620	fixpoint_ON	4	n/a	n/a	n/a
123.75	2.4	61875	stim_ON	8	1	1	1
126.66	n/a	63330	fixpoint_ON	4	n/a	n/a	n/a
127.17	2.4	63585	stim_ON	8	1	0.6	3
130.08	n/a	65040	fixpoint_ON	4	n/a	n/a	n/a
130.59	2.4	65295	stim_ON	8	1	0.3	2
133.5	n/a	66750	fixpoint_ON	4	n/a	n/a	n/a
134.01	2.4	67005	stim_ON	8	1	0	1
136.92	n/a	68460	fixpoint_ON	4	n/a	n/a	n/a
137.43	2.4	68715	stim_ON	8	1	1	1
140.34	n/a	70170	fixpoint_ON	4	n/a	n/a	n/a
140.85	2.4	70425	stim_ON	8	1	0.6	2
143.76	n/a	71880	fixpoint_ON	4	n/a	n/a	n/a
144.27	2.4	72135	stim_ON	8	1	0.3	3
147.19	n/a	73595	fixpoint_ON	4	n/a	n/a	n/a
147.7	2.4	73850	stim_ON	8	1	0	1
150.61	n/a	75305	fixpoint_ON	4	n/a	n/a	n/a
151.12	2.4	75560	stim_ON	8	0	0	2
154.03	n/a	77015	fixpoint_ON	4	n/a	n/a	n/a
154.54	2.4	77270	stim_ON	8	1	0	3
157.45	n/a	78725	fixpoint_ON	4	n/a	n/a	n/a
157.96	2.4	78980	stim_ON	8	0	0.3	1
160.87	n/a	80435	fixpoint_ON	4	n/a	n/a	n/a
161.38	2.4	80690	stim_ON	8	1	0.3	2
164.29	n/a	82145	fixpoint_ON	4	n/a	n/a	n/a
164.8	2.4	82400	stim_ON	8	0	0.6	3
167.708	n/a	83854	fixpoint_ON	4	n/a	n/a	n/a
168.22	2.4	84110	stim_ON	8	1	0.6	1
171.128	n/a	85564	fixpoint_ON	4	n/a	n/a	n/a
171.64	2.4	85820	stim_ON	8	0	1	2
174.548	n/a	87274	fixpoint_ON	4	n/a	n/a	n/a
175.058	2.4	87529	stim_ON	8	1	1	3
177.968	n/a	88984	fixpoint_ON	4	n/a	n/a	n/a
178.478	2.4	89239	stim_ON	8	1	1	1
181.388	n/a	90694	fixpoint_ON	4	n/a	n/a	n/a
181.898	2.4	90949	stim_ON	8	1	0.6	2
184.808	n/a	92404	fixpoint_ON	4	n/a	n/a	n/a
185.318	2.4	92659	stim_ON	8	1	0.3	3
188.228	n/a	94114	fixpoint_ON	4	n/a	n/a	n/a
188.738	2.4	94369	stim_ON	8	1	0	1
191.648	n/a	95824	fixpoint_ON	4	n/a	n/a	n/a
192.158	2.4	96079	stim_ON	8	1	1	1
195.068	n/a	97534	fixpoint_ON	4	n/a	n/a	n/a
195.578	2.4	97789	stim_ON	8	1	0.6	3
198.488	n/a	99244	fixpoint_ON	4	n/a	n/a	n/a
198.998	2.4	99499	stim_ON	8	1	0.3	2
201.908	n/a	100954	fixpoint_ON	4	n/a	n/a	n/a
