onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
32.926	n/a	16463	contrastChangeB3_start	96	n/a
38.656	n/a	19328	contrastTrial_start	5	n/a
44.658	n/a	22329	left_target	8	n/a
46.736	n/a	23368	left_buttonPress	12	smiley_face
47.056	n/a	23528	contrastTrial_start	5	n/a
51.456	n/a	25728	left_target	8	n/a
53.436	n/a	26718	left_buttonPress	12	smiley_face
53.856	n/a	26928	contrastTrial_start	5	n/a
56.656	n/a	28328	left_target	8	n/a
58.446	n/a	29223	left_buttonPress	12	smiley_face
59.056	n/a	29528	contrastTrial_start	5	n/a
65.056	n/a	32528	right_target	9	n/a
66.446	n/a	33223	right_buttonPress	13	smiley_face
67.456	n/a	33728	contrastTrial_start	5	n/a
71.856	n/a	35928	right_target	9	n/a
73.646	n/a	36823	right_buttonPress	13	smiley_face
74.256	n/a	37128	contrastTrial_start	5	n/a
80.256	n/a	40128	left_target	8	n/a
82.146	n/a	41073	left_buttonPress	12	smiley_face
82.656	n/a	41328	contrastTrial_start	5	n/a
87.056	n/a	43528	right_target	9	n/a
88.946	n/a	44473	right_buttonPress	13	smiley_face
89.456	n/a	44728	contrastTrial_start	5	n/a
93.856	n/a	46928	left_target	8	n/a
95.376	n/a	47688	left_buttonPress	12	smiley_face
96.256	n/a	48128	contrastTrial_start	5	n/a
99.056	n/a	49528	left_target	8	n/a
100.666	n/a	50333	left_buttonPress	12	smiley_face
101.456	n/a	50728	contrastTrial_start	5	n/a
104.256	n/a	52128	right_target	9	n/a
105.736	n/a	52868	right_buttonPress	13	smiley_face
106.656	n/a	53328	contrastTrial_start	5	n/a
111.056	n/a	55528	right_target	9	n/a
112.836	n/a	56418	right_buttonPress	13	smiley_face
113.456	n/a	56728	contrastTrial_start	5	n/a
117.856	n/a	58928	left_target	8	n/a
119.456	n/a	59728	left_buttonPress	12	smiley_face
120.256	n/a	60128	contrastTrial_start	5	n/a
124.656	n/a	62328	left_target	8	n/a
126.486	n/a	63243	left_buttonPress	12	smiley_face
127.056	n/a	63528	contrastTrial_start	5	n/a
133.054	n/a	66527	left_target	8	n/a
134.664	n/a	67332	left_buttonPress	12	smiley_face
135.454	n/a	67727	contrastTrial_start	5	n/a
141.454	n/a	70727	right_target	9	n/a
143.324	n/a	71662	right_buttonPress	13	smiley_face
143.856	n/a	71928	contrastTrial_start	5	n/a
146.654	n/a	73327	left_target	8	n/a
148.744	n/a	74372	left_buttonPress	12	smiley_face
149.054	n/a	74527	contrastTrial_start	5	n/a
151.854	n/a	75927	right_target	9	n/a
153.394	n/a	76697	right_buttonPress	13	smiley_face
154.254	n/a	77127	contrastTrial_start	5	n/a
160.254	n/a	80127	right_target	9	n/a
161.594	n/a	80797	right_buttonPress	13	smiley_face
162.654	n/a	81327	contrastTrial_start	5	n/a
165.454	n/a	82727	right_target	9	n/a
167.174	n/a	83587	right_buttonPress	13	smiley_face
167.854	n/a	83927	contrastTrial_start	5	n/a
173.854	n/a	86927	left_target	8	n/a
175.494	n/a	87747	left_buttonPress	12	smiley_face
176.254	n/a	88127	contrastTrial_start	5	n/a
179.054	n/a	89527	right_target	9	n/a
180.544	n/a	90272	right_buttonPress	13	smiley_face
181.454	n/a	90727	contrastTrial_start	5	n/a
187.454	n/a	93727	right_target	9	n/a
189.134	n/a	94567	right_buttonPress	13	smiley_face
189.854	n/a	94927	contrastTrial_start	5	n/a
192.654	n/a	96327	left_target	8	n/a
194.284	n/a	97142	left_buttonPress	12	smiley_face
195.054	n/a	97527	contrastTrial_start	5	n/a
199.454	n/a	99727	right_target	9	n/a
201.214	n/a	100607	right_buttonPress	13	smiley_face
201.854	n/a	100927	contrastTrial_start	5	n/a
208.234	n/a	104117	break cnt	break cnt	n/a
234.742	n/a	117371	9999	9999	n/a
