onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
81.25	n/a	40625	contrastChangeB2_start	95	n/a
86.982	n/a	43491	contrastTrial_start	5	n/a
89.786	n/a	44893	left_target	8	n/a
92.186	n/a	46093	contrastTrial_start	5	n/a
94.986	n/a	47493	right_target	9	n/a
96.276	n/a	48138	left_buttonPress	12	sad_face
97.086	n/a	48543	left_buttonPress	12	non_target
97.386	n/a	48693	contrastTrial_start	5	n/a
103.386	n/a	51693	left_target	8	n/a
104.956	n/a	52478	left_buttonPress	12	smiley_face
105.786	n/a	52893	contrastTrial_start	5	n/a
111.786	n/a	55893	right_target	9	n/a
113.156	n/a	56578	right_buttonPress	13	smiley_face
114.186	n/a	57093	contrastTrial_start	5	n/a
120.184	n/a	60092	left_target	8	n/a
121.216	n/a	60608	right_buttonPress	13	sad_face
122.586	n/a	61293	contrastTrial_start	5	n/a
126.984	n/a	63492	right_target	9	n/a
128.384	n/a	64192	left_buttonPress	12	sad_face
128.754	n/a	64377	right_buttonPress	13	non_target
129.384	n/a	64692	contrastTrial_start	5	n/a
135.384	n/a	67692	right_target	9	n/a
136.754	n/a	68377	left_buttonPress	12	sad_face
137.784	n/a	68892	contrastTrial_start	5	n/a
140.584	n/a	70292	left_target	8	n/a
142.114	n/a	71057	left_buttonPress	12	smiley_face
142.984	n/a	71492	contrastTrial_start	5	n/a
148.984	n/a	74492	left_target	8	n/a
150.154	n/a	75077	left_buttonPress	12	smiley_face
151.384	n/a	75692	contrastTrial_start	5	n/a
155.784	n/a	77892	left_target	8	n/a
157.564	n/a	78782	left_buttonPress	12	smiley_face
158.184	n/a	79092	contrastTrial_start	5	n/a
162.584	n/a	81292	left_target	8	n/a
163.934	n/a	81967	left_buttonPress	12	smiley_face
164.984	n/a	82492	contrastTrial_start	5	n/a
167.784	n/a	83892	left_target	8	n/a
169.394	n/a	84697	left_buttonPress	12	smiley_face
170.184	n/a	85092	contrastTrial_start	5	n/a
174.584	n/a	87292	right_target	9	n/a
176.494	n/a	88247	left_buttonPress	12	sad_face
176.984	n/a	88492	contrastTrial_start	5	n/a
182.984	n/a	91492	right_target	9	n/a
185.354	n/a	92677	right_buttonPress	13	smiley_face
185.384	n/a	92692	contrastTrial_start	5	n/a
189.784	n/a	94892	left_target	8	n/a
191.794	n/a	95897	left_buttonPress	12	smiley_face
192.184	n/a	96092	contrastTrial_start	5	n/a
198.184	n/a	99092	left_target	8	n/a
200.584	n/a	100292	contrastTrial_start	5	n/a
200.744	n/a	100372	left_buttonPress	12	non_target
204.984	n/a	102492	left_target	8	n/a
206.784	n/a	103392	left_buttonPress	12	smiley_face
207.384	n/a	103692	contrastTrial_start	5	n/a
210.184	n/a	105092	left_target	8	n/a
211.794	n/a	105897	left_buttonPress	12	smiley_face
212.584	n/a	106292	contrastTrial_start	5	n/a
215.384	n/a	107692	right_target	9	n/a
217.244	n/a	108622	right_buttonPress	13	smiley_face
217.784	n/a	108892	contrastTrial_start	5	n/a
220.584	n/a	110292	right_target	9	n/a
222.984	n/a	111492	contrastTrial_start	5	n/a
227.382	n/a	113691	right_target	9	n/a
229.512	n/a	114756	left_buttonPress	12	sad_face
229.784	n/a	114892	contrastTrial_start	5	n/a
232.582	n/a	116291	right_target	9	n/a
234.062	n/a	117031	left_buttonPress	12	sad_face
234.302	n/a	117151	right_buttonPress	13	non_target
234.982	n/a	117491	contrastTrial_start	5	n/a
239.382	n/a	119691	right_target	9	n/a
241.402	n/a	120701	left_buttonPress	12	sad_face
241.784	n/a	120892	contrastTrial_start	5	n/a
247.782	n/a	123891	right_target	9	n/a
249.322	n/a	124661	right_buttonPress	13	smiley_face
250.184	n/a	125092	contrastTrial_start	5	n/a
256.528	n/a	128264	break cnt	break cnt	n/a
283.808	n/a	141904	9999	9999	n/a
