onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
30.964	n/a	15482	symbolSearch_start	92	n/a	n/a
33.882	n/a	16941	newPage	20	n/a	n/a
40.876	n/a	20438	trialResponse	14	0	0
44.938	n/a	22469	trialResponse	14	1	1
51.126	n/a	25563	trialResponse	14	0	0
57.734	n/a	28867	trialResponse	14	0	0
64.952	n/a	32476	trialResponse	14	0	0
68.63	n/a	34315	trialResponse	14	1	1
72.6	n/a	36300	trialResponse	14	0	0
81.896	n/a	40948	trialResponse	14	0	1
91.08	n/a	45540	trialResponse	14	0	0
99.814	n/a	49907	trialResponse	14	0	0
108.552	n/a	54276	trialResponse	14	0	0
113.102	n/a	56551	trialResponse	14	1	1
118.488	n/a	59244	trialResponse	14	0	0
123.018	n/a	61509	trialResponse	14	1	1
128.048	n/a	64024	trialResponse	14	1	1
129.69	n/a	64845	newPage	20	n/a	n/a
133.224	n/a	66612	trialResponse	14	1	1
136.768	n/a	68384	trialResponse	14	1	1
141.352	n/a	70676	trialResponse	14	0	0
146.944	n/a	73472	trialResponse	14	1	1
150.84	n/a	75420	trialResponse	14	1	0
157.432	n/a	78716	trialResponse	14	1	1
157.438	n/a	78719	newPage	20	n/a	n/a
160.333	n/a	80166.5	boundary	boundary	n/a	n/a
