onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
31.2	n/a	15600	surroundSuppB2_start	97	n/a	n/a	n/a
32.738	n/a	16369	fixpoint_ON	4	n/a	n/a	n/a
33.254	2.4	16627	stim_ON	8	1	1	3
36.172	n/a	18086	fixpoint_ON	4	n/a	n/a	n/a
36.682	2.4	18341	stim_ON	8	1	0.6	1
39.592	n/a	19796	fixpoint_ON	4	n/a	n/a	n/a
40.102	2.4	20051	stim_ON	8	1	0.3	2
43.012	n/a	21506	fixpoint_ON	4	n/a	n/a	n/a
43.522	2.4	21761	stim_ON	8	1	0	3
46.432	n/a	23216	fixpoint_ON	4	n/a	n/a	n/a
46.942	2.4	23471	stim_ON	8	1	0	2
49.852	n/a	24926	fixpoint_ON	4	n/a	n/a	n/a
50.362	2.4	25181	stim_ON	8	1	0.3	1
53.272	n/a	26636	fixpoint_ON	4	n/a	n/a	n/a
53.782	2.4	26891	stim_ON	8	1	0.6	3
56.692	n/a	28346	fixpoint_ON	4	n/a	n/a	n/a
57.202	2.4	28601	stim_ON	8	1	1	2
60.112	n/a	30056	fixpoint_ON	4	n/a	n/a	n/a
60.622	2.4	30311	stim_ON	8	1	1	3
63.532	n/a	31766	fixpoint_ON	4	n/a	n/a	n/a
64.042	2.4	32021	stim_ON	8	1	0.6	1
66.952	n/a	33476	fixpoint_ON	4	n/a	n/a	n/a
67.462	2.4	33731	stim_ON	8	1	0.3	2
70.372	n/a	35186	fixpoint_ON	4	n/a	n/a	n/a
70.882	2.4	35441	stim_ON	8	1	0	3
73.792	n/a	36896	fixpoint_ON	4	n/a	n/a	n/a
74.302	2.4	37151	stim_ON	8	0	1	1
77.212	n/a	38606	fixpoint_ON	4	n/a	n/a	n/a
77.722	2.4	38861	stim_ON	8	0	0.6	2
80.632	n/a	40316	fixpoint_ON	4	n/a	n/a	n/a
81.142	2.4	40571	stim_ON	8	0	0.3	3
