onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
46.974	n/a	23487	surroundSuppB1_start	93	n/a	n/a	n/a
48.522	n/a	24261	fixpoint_ON	4	n/a	n/a	n/a
49.04	2.4	24520	stim_ON	8	1	0	2
51.948	n/a	25974	fixpoint_ON	4	n/a	n/a	n/a
52.458	2.4	26229	stim_ON	8	1	0.3	3
55.368	n/a	27684	fixpoint_ON	4	n/a	n/a	n/a
55.878	2.4	27939	stim_ON	8	1	0.6	1
58.788	n/a	29394	fixpoint_ON	4	n/a	n/a	n/a
59.298	2.4	29649	stim_ON	8	1	1	2
62.208	n/a	31104	fixpoint_ON	4	n/a	n/a	n/a
62.718	2.4	31359	stim_ON	8	1	0	3
65.628	n/a	32814	fixpoint_ON	4	n/a	n/a	n/a
66.138	2.4	33069	stim_ON	8	1	0.3	2
69.048	n/a	34524	fixpoint_ON	4	n/a	n/a	n/a
69.558	2.4	34779	stim_ON	8	1	0.6	1
72.468	n/a	36234	fixpoint_ON	4	n/a	n/a	n/a
72.978	2.4	36489	stim_ON	8	1	1	3
75.888	n/a	37944	fixpoint_ON	4	n/a	n/a	n/a
76.398	2.4	38199	stim_ON	8	1	0	2
79.308	n/a	39654	fixpoint_ON	4	n/a	n/a	n/a
79.818	2.4	39909	stim_ON	8	1	0.3	3
82.728	n/a	41364	fixpoint_ON	4	n/a	n/a	n/a
83.238	2.4	41619	stim_ON	8	1	0.6	1
86.148	n/a	43074	fixpoint_ON	4	n/a	n/a	n/a
86.658	2.4	43329	stim_ON	8	1	1	2
89.578	n/a	44789	fixpoint_ON	4	n/a	n/a	n/a
90.088	2.4	45044	stim_ON	8	0	0	3
92.998	n/a	46499	fixpoint_ON	4	n/a	n/a	n/a
93.508	2.4	46754	stim_ON	8	0	0.3	1
96.418	n/a	48209	fixpoint_ON	4	n/a	n/a	n/a
96.928	2.4	48464	stim_ON	8	0	0.6	2
99.838	n/a	49919	fixpoint_ON	4	n/a	n/a	n/a
100.348	2.4	50174	stim_ON	8	0	1	3
103.258	n/a	51629	fixpoint_ON	4	n/a	n/a	n/a
103.768	2.4	51884	stim_ON	8	1	1	1
106.678	n/a	53339	fixpoint_ON	4	n/a	n/a	n/a
107.188	2.4	53594	stim_ON	8	1	0.6	3
110.098	n/a	55049	fixpoint_ON	4	n/a	n/a	n/a
110.608	2.4	55304	stim_ON	8	1	0.3	2
113.518	n/a	56759	fixpoint_ON	4	n/a	n/a	n/a
114.028	2.4	57014	stim_ON	8	1	0	1
