onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
33.576	n/a	16788	contrastChangeB1_start	94	n/a
39.55	n/a	19775	contrastTrial_start	5	n/a
42.352	n/a	21176	right_target	9	n/a
44.28	n/a	22140	right_buttonPress	13	smiley_face
44.752	n/a	22376	contrastTrial_start	5	n/a
47.55	n/a	23775	right_target	9	n/a
49.64	n/a	24820	right_buttonPress	13	smiley_face
49.95	n/a	24975	contrastTrial_start	5	n/a
54.35	n/a	27175	right_target	9	n/a
56.052	n/a	28026	right_buttonPress	13	smiley_face
56.752	n/a	28376	contrastTrial_start	5	n/a
62.752	n/a	31376	right_target	9	n/a
64.552	n/a	32276	right_buttonPress	13	smiley_face
65.152	n/a	32576	contrastTrial_start	5	n/a
67.952	n/a	33976	left_target	8	n/a
69.632	n/a	34816	left_buttonPress	12	smiley_face
70.352	n/a	35176	contrastTrial_start	5	n/a
73.152	n/a	36576	right_target	9	n/a
74.622	n/a	37311	right_buttonPress	13	smiley_face
75.552	n/a	37776	contrastTrial_start	5	n/a
79.952	n/a	39976	right_target	9	n/a
81.732	n/a	40866	right_buttonPress	13	smiley_face
82.352	n/a	41176	contrastTrial_start	5	n/a
86.752	n/a	43376	left_target	8	n/a
88.502	n/a	44251	left_buttonPress	12	smiley_face
89.152	n/a	44576	contrastTrial_start	5	n/a
93.552	n/a	46776	left_target	8	n/a
95.352	n/a	47676	left_buttonPress	12	smiley_face
95.952	n/a	47976	contrastTrial_start	5	n/a
100.352	n/a	50176	right_target	9	n/a
102.162	n/a	51081	right_buttonPress	13	smiley_face
102.752	n/a	51376	contrastTrial_start	5	n/a
108.752	n/a	54376	left_target	8	n/a
110.412	n/a	55206	left_buttonPress	12	smiley_face
111.152	n/a	55576	contrastTrial_start	5	n/a
113.952	n/a	56976	left_target	8	n/a
115.852	n/a	57926	left_buttonPress	12	smiley_face
116.352	n/a	58176	contrastTrial_start	5	n/a
122.352	n/a	61176	left_target	8	n/a
124.092	n/a	62046	left_buttonPress	12	smiley_face
124.752	n/a	62376	contrastTrial_start	5	n/a
129.152	n/a	64576	left_target	8	n/a
130.782	n/a	65391	left_buttonPress	12	smiley_face
131.552	n/a	65776	contrastTrial_start	5	n/a
134.352	n/a	67176	left_target	8	n/a
136.132	n/a	68066	left_buttonPress	12	smiley_face
136.754	n/a	68377	contrastTrial_start	5	n/a
142.754	n/a	71377	left_target	8	n/a
144.492	n/a	72246	left_buttonPress	12	smiley_face
145.154	n/a	72577	contrastTrial_start	5	n/a
149.554	n/a	74777	right_target	9	n/a
151.294	n/a	75647	right_buttonPress	13	smiley_face
151.954	n/a	75977	contrastTrial_start	5	n/a
157.954	n/a	78977	right_target	9	n/a
159.774	n/a	79887	right_buttonPress	13	smiley_face
160.354	n/a	80177	contrastTrial_start	5	n/a
166.354	n/a	83177	right_target	9	n/a
167.984	n/a	83992	right_buttonPress	13	smiley_face
168.754	n/a	84377	contrastTrial_start	5	n/a
171.554	n/a	85777	left_target	8	n/a
173.404	n/a	86702	left_buttonPress	12	smiley_face
173.954	n/a	86977	contrastTrial_start	5	n/a
179.954	n/a	89977	left_target	8	n/a
182.004	n/a	91002	left_buttonPress	12	smiley_face
182.354	n/a	91177	contrastTrial_start	5	n/a
186.754	n/a	93377	left_target	8	n/a
188.244	n/a	94122	left_buttonPress	12	smiley_face
189.154	n/a	94577	contrastTrial_start	5	n/a
191.954	n/a	95977	right_target	9	n/a
194.356	n/a	97178	contrastTrial_start	5	n/a
194.404	n/a	97202	right_buttonPress	13	non_target
200.354	n/a	100177	right_target	9	n/a
201.964	n/a	100982	right_buttonPress	13	smiley_face
202.756	n/a	101378	contrastTrial_start	5	n/a
209.228	n/a	104614	break cnt	break cnt	n/a
235.292	n/a	117646	9999	9999	n/a
