onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
96.208	n/a	48104	surroundSuppB2_start	97	n/a	n/a	n/a
97.74	n/a	48870	fixpoint_ON	4	n/a	n/a	n/a
98.258	2.4	49129	stim_ON	8	1	1	3
101.174	n/a	50587	fixpoint_ON	4	n/a	n/a	n/a
101.684	2.4	50842	stim_ON	8	1	0.6	1
104.594	n/a	52297	fixpoint_ON	4	n/a	n/a	n/a
105.104	2.4	52552	stim_ON	8	1	0.3	2
108.014	n/a	54007	fixpoint_ON	4	n/a	n/a	n/a
108.524	2.4	54262	stim_ON	8	1	0	3
111.434	n/a	55717	fixpoint_ON	4	n/a	n/a	n/a
111.944	2.4	55972	stim_ON	8	1	0	2
114.854	n/a	57427	fixpoint_ON	4	n/a	n/a	n/a
115.364	2.4	57682	stim_ON	8	1	0.3	1
118.274	n/a	59137	fixpoint_ON	4	n/a	n/a	n/a
118.784	2.4	59392	stim_ON	8	1	0.6	3
121.694	n/a	60847	fixpoint_ON	4	n/a	n/a	n/a
122.204	2.4	61102	stim_ON	8	1	1	2
125.114	n/a	62557	fixpoint_ON	4	n/a	n/a	n/a
125.624	2.4	62812	stim_ON	8	1	1	3
128.534	n/a	64267	fixpoint_ON	4	n/a	n/a	n/a
129.044	2.4	64522	stim_ON	8	1	0.6	1
131.954	n/a	65977	fixpoint_ON	4	n/a	n/a	n/a
132.464	2.4	66232	stim_ON	8	1	0.3	2
135.374	n/a	67687	fixpoint_ON	4	n/a	n/a	n/a
135.884	2.4	67942	stim_ON	8	1	0	3
138.794	n/a	69397	fixpoint_ON	4	n/a	n/a	n/a
139.304	2.4	69652	stim_ON	8	0	1	1
142.214	n/a	71107	fixpoint_ON	4	n/a	n/a	n/a
142.724	2.4	71362	stim_ON	8	0	0.6	2
145.634	n/a	72817	fixpoint_ON	4	n/a	n/a	n/a
146.146	2.4	73073	stim_ON	8	0	0.3	3
149.054	n/a	74527	fixpoint_ON	4	n/a	n/a	n/a
149.566	2.4	74783	stim_ON	8	0	0	1
152.474	n/a	76237	fixpoint_ON	4	n/a	n/a	n/a
153.004	2.4	76502	stim_ON	8	1	1	3
155.916	n/a	77958	fixpoint_ON	4	n/a	n/a	n/a
156.426	2.4	78213	stim_ON	8	1	0.6	2
159.336	n/a	79668	fixpoint_ON	4	n/a	n/a	n/a
159.846	2.4	79923	stim_ON	8	1	0.3	1
162.756	n/a	81378	fixpoint_ON	4	n/a	n/a	n/a
163.266	2.4	81633	stim_ON	8	1	0	3
166.176	n/a	83088	fixpoint_ON	4	n/a	n/a	n/a
166.686	2.4	83343	stim_ON	8	1	0	3
169.596	n/a	84798	fixpoint_ON	4	n/a	n/a	n/a
