onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
255.528	n/a	127764	surroundSuppB2_start	97	n/a	n/a	n/a
257.08	n/a	128540	fixpoint_ON	4	n/a	n/a	n/a
257.598	2.4	128799	stim_ON	8	1	1	3
260.506	n/a	130253	fixpoint_ON	4	n/a	n/a	n/a
261.016	2.4	130508	stim_ON	8	1	0.6	1
263.926	n/a	131963	fixpoint_ON	4	n/a	n/a	n/a
264.436	2.4	132218	stim_ON	8	1	0.3	2
267.356	n/a	133678	fixpoint_ON	4	n/a	n/a	n/a
267.866	2.4	133933	stim_ON	8	1	0	3
270.776	n/a	135388	fixpoint_ON	4	n/a	n/a	n/a
271.286	2.4	135643	stim_ON	8	1	0	2
274.196	n/a	137098	fixpoint_ON	4	n/a	n/a	n/a
274.706	2.4	137353	stim_ON	8	1	0.3	1
277.614	n/a	138807	fixpoint_ON	4	n/a	n/a	n/a
278.126	2.4	139063	stim_ON	8	1	0.6	3
281.034	n/a	140517	fixpoint_ON	4	n/a	n/a	n/a
281.546	2.4	140773	stim_ON	8	1	1	2
284.454	n/a	142227	fixpoint_ON	4	n/a	n/a	n/a
284.966	2.4	142483	stim_ON	8	1	1	3
287.874	n/a	143937	fixpoint_ON	4	n/a	n/a	n/a
288.384	2.4	144192	stim_ON	8	1	0.6	1
291.294	n/a	145647	fixpoint_ON	4	n/a	n/a	n/a
291.804	2.4	145902	stim_ON	8	1	0.3	2
294.714	n/a	147357	fixpoint_ON	4	n/a	n/a	n/a
295.224	2.4	147612	stim_ON	8	1	0	3
298.134	n/a	149067	fixpoint_ON	4	n/a	n/a	n/a
298.644	2.4	149322	stim_ON	8	0	1	1
301.554	n/a	150777	fixpoint_ON	4	n/a	n/a	n/a
302.064	2.4	151032	stim_ON	8	0	0.6	2
304.974	n/a	152487	fixpoint_ON	4	n/a	n/a	n/a
305.484	2.4	152742	stim_ON	8	0	0.3	3
308.394	n/a	154197	fixpoint_ON	4	n/a	n/a	n/a
308.904	2.4	154452	stim_ON	8	0	0	1
311.814	n/a	155907	fixpoint_ON	4	n/a	n/a	n/a
312.324	2.4	156162	stim_ON	8	1	1	3
315.234	n/a	157617	fixpoint_ON	4	n/a	n/a	n/a
315.744	2.4	157872	stim_ON	8	1	0.6	2
318.654	n/a	159327	fixpoint_ON	4	n/a	n/a	n/a
319.164	2.4	159582	stim_ON	8	1	0.3	1
322.074	n/a	161037	fixpoint_ON	4	n/a	n/a	n/a
322.584	2.4	161292	stim_ON	8	1	0	3
325.494	n/a	162747	fixpoint_ON	4	n/a	n/a	n/a
326.004	2.4	163002	stim_ON	8	1	0	3
328.914	n/a	164457	fixpoint_ON	4	n/a	n/a	n/a
329.424	2.4	164712	stim_ON	8	1	0.3	1
332.334	n/a	166167	fixpoint_ON	4	n/a	n/a	n/a
332.844	2.4	166422	stim_ON	8	1	0.6	2
