onset	duration	sample	value	event_code
0	n/a	0	break cnt	break cnt
1.896	n/a	948	resting_start	90
50.61	n/a	25305	instructed_toOpenEyes	20
70.612	n/a	35306	instructed_toCloseEyes	30
110.61	n/a	55305	instructed_toOpenEyes	20
130.612	n/a	65306	instructed_toCloseEyes	30
170.602	n/a	85301	instructed_toOpenEyes	20
190.602	n/a	95301	instructed_toCloseEyes	30
230.604	n/a	115302	instructed_toOpenEyes	20
250.604	n/a	125302	instructed_toCloseEyes	30
290.604	n/a	145302	instructed_toOpenEyes	20
310.606	n/a	155303	instructed_toCloseEyes	30
350.606	n/a	175303	instructed_toOpenEyes	20
355.171	n/a	177585.5	boundary	boundary
