onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
33.582	n/a	16791	surroundSuppB2_start	97	n/a	n/a	n/a
35.13	n/a	17565	fixpoint_ON	4	n/a	n/a	n/a
35.646	2.4	17823	stim_ON	8	1	1	3
38.564	n/a	19282	fixpoint_ON	4	n/a	n/a	n/a
39.074	2.4	19537	stim_ON	8	1	0.6	1
41.984	n/a	20992	fixpoint_ON	4	n/a	n/a	n/a
42.496	2.4	21248	stim_ON	8	1	0.3	2
45.406	n/a	22703	fixpoint_ON	4	n/a	n/a	n/a
45.916	2.4	22958	stim_ON	8	1	0	3
48.836	n/a	24418	fixpoint_ON	4	n/a	n/a	n/a
49.346	2.4	24673	stim_ON	8	1	0	2
52.256	n/a	26128	fixpoint_ON	4	n/a	n/a	n/a
52.766	2.4	26383	stim_ON	8	1	0.3	1
55.676	n/a	27838	fixpoint_ON	4	n/a	n/a	n/a
56.186	2.4	28093	stim_ON	8	1	0.6	3
59.096	n/a	29548	fixpoint_ON	4	n/a	n/a	n/a
59.606	2.4	29803	stim_ON	8	1	1	2
62.526	n/a	31263	fixpoint_ON	4	n/a	n/a	n/a
63.036	2.4	31518	stim_ON	8	1	1	3
65.946	n/a	32973	fixpoint_ON	4	n/a	n/a	n/a
66.456	2.4	33228	stim_ON	8	1	0.6	1
69.366	n/a	34683	fixpoint_ON	4	n/a	n/a	n/a
69.876	2.4	34938	stim_ON	8	1	0.3	2
72.786	n/a	36393	fixpoint_ON	4	n/a	n/a	n/a
73.296	2.4	36648	stim_ON	8	1	0	3
76.206	n/a	38103	fixpoint_ON	4	n/a	n/a	n/a
76.716	2.4	38358	stim_ON	8	0	1	1
79.626	n/a	39813	fixpoint_ON	4	n/a	n/a	n/a
80.136	2.4	40068	stim_ON	8	0	0.6	2
83.046	n/a	41523	fixpoint_ON	4	n/a	n/a	n/a
83.556	2.4	41778	stim_ON	8	0	0.3	3
86.466	n/a	43233	fixpoint_ON	4	n/a	n/a	n/a
86.976	2.4	43488	stim_ON	8	0	0	1
89.886	n/a	44943	fixpoint_ON	4	n/a	n/a	n/a
90.396	2.4	45198	stim_ON	8	1	1	3
93.306	n/a	46653	fixpoint_ON	4	n/a	n/a	n/a
93.816	2.4	46908	stim_ON	8	1	0.6	2
96.726	n/a	48363	fixpoint_ON	4	n/a	n/a	n/a
97.236	2.4	48618	stim_ON	8	1	0.3	1
100.146	n/a	50073	fixpoint_ON	4	n/a	n/a	n/a
100.656	2.4	50328	stim_ON	8	1	0	3
103.566	n/a	51783	fixpoint_ON	4	n/a	n/a	n/a
104.076	2.4	52038	stim_ON	8	1	0	3
106.986	n/a	53493	fixpoint_ON	4	n/a	n/a	n/a
107.496	2.4	53748	stim_ON	8	1	0.3	1
110.406	n/a	55203	fixpoint_ON	4	n/a	n/a	n/a
110.916	2.4	55458	stim_ON	8	1	0.6	2
113.836	n/a	56918	fixpoint_ON	4	n/a	n/a	n/a
114.346	2.4	57173	stim_ON	8	1	1	3
117.256	n/a	58628	fixpoint_ON	4	n/a	n/a	n/a
117.766	2.4	58883	stim_ON	8	1	0	1
120.676	n/a	60338	fixpoint_ON	4	n/a	n/a	n/a
121.186	2.4	60593	stim_ON	8	0	0	2
124.096	n/a	62048	fixpoint_ON	4	n/a	n/a	n/a
124.606	2.4	62303	stim_ON	8	1	0.3	3
127.516	n/a	63758	fixpoint_ON	4	n/a	n/a	n/a
128.026	2.4	64013	stim_ON	8	0	0.3	1
130.936	n/a	65468	fixpoint_ON	4	n/a	n/a	n/a
131.448	2.4	65724	stim_ON	8	1	0.6	2
134.358	n/a	67179	fixpoint_ON	4	n/a	n/a	n/a
134.868	2.4	67434	stim_ON	8	0	0.6	3
137.778	n/a	68889	fixpoint_ON	4	n/a	n/a	n/a
138.288	2.4	69144	stim_ON	8	1	1	1
141.198	n/a	70599	fixpoint_ON	4	n/a	n/a	n/a
141.708	2.4	70854	stim_ON	8	0	1	2
144.618	n/a	72309	fixpoint_ON	4	n/a	n/a	n/a
145.128	2.4	72564	stim_ON	8	1	0	3
148.038	n/a	74019	fixpoint_ON	4	n/a	n/a	n/a
148.548	2.4	74274	stim_ON	8	1	0.3	1
151.458	n/a	75729	fixpoint_ON	4	n/a	n/a	n/a
151.968	2.4	75984	stim_ON	8	1	0.6	2
154.878	n/a	77439	fixpoint_ON	4	n/a	n/a	n/a
155.388	2.4	77694	stim_ON	8	1	1	3
158.298	n/a	79149	fixpoint_ON	4	n/a	n/a	n/a
158.808	2.4	79404	stim_ON	8	1	1	2
161.718	n/a	80859	fixpoint_ON	4	n/a	n/a	n/a
162.228	2.4	81114	stim_ON	8	1	0.6	1
165.138	n/a	82569	fixpoint_ON	4	n/a	n/a	n/a
165.648	2.4	82824	stim_ON	8	1	0.3	3
168.558	n/a	84279	fixpoint_ON	4	n/a	n/a	n/a
169.068	2.4	84534	stim_ON	8	1	0	2
171.978	n/a	85989	fixpoint_ON	4	n/a	n/a	n/a
172.488	2.4	86244	stim_ON	8	0	1	1
175.398	n/a	87699	fixpoint_ON	4	n/a	n/a	n/a
175.908	2.4	87954	stim_ON	8	0	0.6	2
178.818	n/a	89409	fixpoint_ON	4	n/a	n/a	n/a
179.328	2.4	89664	stim_ON	8	0	0.3	3
182.238	n/a	91119	fixpoint_ON	4	n/a	n/a	n/a
182.748	2.4	91374	stim_ON	8	0	0	1
185.658	n/a	92829	fixpoint_ON	4	n/a	n/a	n/a
186.168	2.4	93084	stim_ON	8	1	1	2
189.078	n/a	94539	fixpoint_ON	4	n/a	n/a	n/a
189.588	2.4	94794	stim_ON	8	1	0.6	3
192.498	n/a	96249	fixpoint_ON	4	n/a	n/a	n/a
193.008	2.4	96504	stim_ON	8	1	0.3	1
195.918	n/a	97959	fixpoint_ON	4	n/a	n/a	n/a
196.428	2.4	98214	stim_ON	8	1	0	2
199.338	n/a	99669	fixpoint_ON	4	n/a	n/a	n/a
199.848	2.4	99924	stim_ON	8	1	0	1
202.758	n/a	101379	fixpoint_ON	4	n/a	n/a	n/a
203.268	2.4	101634	stim_ON	8	1	0.3	3
206.178	n/a	103089	fixpoint_ON	4	n/a	n/a	n/a
206.688	2.4	103344	stim_ON	8	1	0.6	2
209.598	n/a	104799	fixpoint_ON	4	n/a	n/a	n/a
210.108	2.4	105054	stim_ON	8	1	1	1
213.018	n/a	106509	fixpoint_ON	4	n/a	n/a	n/a
213.528	2.4	106764	stim_ON	8	1	1	2
216.438	n/a	108219	fixpoint_ON	4	n/a	n/a	n/a
216.948	2.4	108474	stim_ON	8	1	0.6	3
219.858	n/a	109929	fixpoint_ON	4	n/a	n/a	n/a
220.37	2.4	110185	stim_ON	8	1	0.3	1
223.28	n/a	111640	fixpoint_ON	4	n/a	n/a	n/a
223.79	2.4	111895	stim_ON	8	1	0	2
226.7	n/a	113350	fixpoint_ON	4	n/a	n/a	n/a
227.21	2.4	113605	stim_ON	8	0	1	1
230.12	n/a	115060	fixpoint_ON	4	n/a	n/a	n/a
230.63	2.4	115315	stim_ON	8	1	1	2
233.54	n/a	116770	fixpoint_ON	4	n/a	n/a	n/a
234.05	2.4	117025	stim_ON	8	0	0.6	3
236.96	n/a	118480	fixpoint_ON	4	n/a	n/a	n/a
237.47	2.4	118735	stim_ON	8	1	0.6	1
240.38	n/a	120190	fixpoint_ON	4	n/a	n/a	n/a
240.89	2.4	120445	stim_ON	8	0	0.3	2
243.8	n/a	121900	fixpoint_ON	4	n/a	n/a	n/a
244.31	2.4	122155	stim_ON	8	1	0.3	3
247.22	n/a	123610	fixpoint_ON	4	n/a	n/a	n/a
247.73	2.4	123865	stim_ON	8	0	0	1
250.64	n/a	125320	fixpoint_ON	4	n/a	n/a	n/a
251.15	2.4	125575	stim_ON	8	1	0	2
257.176	n/a	128588	break cnt	break cnt	n/a	n/a	n/a
327.99	n/a	163995	9999	9999	n/a	n/a	n/a
329.032	n/a	164516	video_start	84	n/a	n/a	n/a
532.106	n/a	266053	video_stop	104	n/a	n/a	n/a
