onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
17.034	n/a	8517	contrastChangeB3_start	96	n/a
22.72	n/a	11360	contrastTrial_start	5	n/a
27.122	n/a	13561	left_target	8	n/a
29.244	n/a	14622	left_buttonPress	12	smiley_face
29.522	n/a	14761	contrastTrial_start	5	n/a
35.522	n/a	17761	left_target	8	n/a
37.712	n/a	18856	left_buttonPress	12	smiley_face
37.922	n/a	18961	contrastTrial_start	5	n/a
38.002	n/a	19001	left_buttonPress	12	non_target
42.322	n/a	21161	right_target	9	n/a
44.252	n/a	22126	right_buttonPress	13	smiley_face
44.542	n/a	22271	right_buttonPress	13	non_target
44.722	n/a	22361	contrastTrial_start	5	n/a
44.792	n/a	22396	right_buttonPress	13	non_target
49.122	n/a	24561	left_target	8	n/a
50.982	n/a	25491	left_buttonPress	12	smiley_face
51.282	n/a	25641	left_buttonPress	12	non_target
51.522	n/a	25761	contrastTrial_start	5	n/a
51.552	n/a	25776	left_buttonPress	12	non_target
57.522	n/a	28761	right_target	9	n/a
59.232	n/a	29616	right_buttonPress	13	smiley_face
59.922	n/a	29961	contrastTrial_start	5	n/a
60.162	n/a	30081	right_buttonPress	13	non_target
65.922	n/a	32961	right_target	9	n/a
67.962	n/a	33981	left_buttonPress	12	sad_face
68.322	n/a	34161	contrastTrial_start	5	n/a
71.122	n/a	35561	right_target	9	n/a
73.212	n/a	36606	right_buttonPress	13	smiley_face
73.522	n/a	36761	contrastTrial_start	5	n/a
73.54	n/a	36770	right_buttonPress	13	non_target
77.92	n/a	38960	left_target	8	n/a
80.26	n/a	40130	left_buttonPress	12	smiley_face
80.32	n/a	40160	contrastTrial_start	5	n/a
83.12	n/a	41560	right_target	9	n/a
84.704	n/a	42352	right_buttonPress	13	smiley_face
85.01	n/a	42505	right_buttonPress	13	non_target
85.52	n/a	42760	contrastTrial_start	5	n/a
91.52	n/a	45760	left_target	8	n/a
93.03	n/a	46515	right_buttonPress	13	sad_face
93.32	n/a	46660	left_buttonPress	12	non_target
93.56	n/a	46780	left_buttonPress	12	non_target
93.81	n/a	46905	left_buttonPress	12	non_target
93.92	n/a	46960	contrastTrial_start	5	n/a
98.32	n/a	49160	right_target	9	n/a
100.7	n/a	50350	right_buttonPress	13	smiley_face
100.722	n/a	50361	contrastTrial_start	5	n/a
101.07	n/a	50535	right_buttonPress	13	non_target
105.12	n/a	52560	left_target	8	n/a
106.44	n/a	53220	left_buttonPress	12	smiley_face
106.73	n/a	53365	left_buttonPress	12	non_target
107.06	n/a	53530	left_buttonPress	12	non_target
107.52	n/a	53760	contrastTrial_start	5	n/a
110.32	n/a	55160	left_target	8	n/a
